name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sankt Pölten,2022-10-09,62.5,49.5,55.8,62.5,46.9,55.7,44.3,66.3,0.01,100,4.17,rain,0,0,22.4,16.1,5.6,1024.8,63,8,160.5,13.9,7,10,2022-10-09T07:07:56,2022-10-09T18:20:55,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"LOWW,F5813,E8144,remote"
Sankt Pölten,2022-10-10,63.8,44.1,52.7,63.8,43.5,52.3,46.8,80.8,0,0,0,,0,0,15.2,6,61.1,1020.3,57.8,15,140.9,12.3,5,10,2022-10-10T07:09:24,2022-10-10T18:18:56,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Sankt Pölten,2022-10-11,64.3,53.3,57.8,64.3,53.3,57.8,52.3,82.5,0,47.6,0,rain,0,0,14.1,6.3,335.1,1023.2,90,14.3,43.6,3.7,2,10,2022-10-11T07:10:51,2022-10-11T18:16:57,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Sankt Pölten,2022-10-12,58.7,47,52.7,58.7,46.2,52.5,47.1,81.7,0,14.3,0,,0,0,16.6,7.2,57.1,1024.5,56.3,15,51,4.3,2,10,2022-10-12T07:12:19,2022-10-12T18:14:59,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sankt Pölten,2022-10-13,61.2,44.3,51.8,61.2,44.3,51.7,48.1,88,0,19,0,,0,0,11.6,4.7,216.3,1022.7,78,15,127.6,11,5,10,2022-10-13T07:13:47,2022-10-13T18:13:01,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sankt Pölten,2022-10-14,53.1,45.4,50.9,53.1,45.4,50.9,49.1,93.5,0.09,76.2,16.67,rain,0,0,19,6.3,228.1,1020.8,87.3,14.3,11.3,1.2,0,10,2022-10-14T07:15:16,2022-10-14T18:11:04,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Sankt Pölten,2022-10-15,65.6,49.9,57.2,65.6,47.9,57.1,51.2,81.4,0.03,76.2,4.17,rain,0,0,19.5,7.4,241.8,1016.6,91.8,15,103.9,9,4,10,2022-10-15T07:16:45,2022-10-15T18:09:08,0.65,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
Sankt Pölten,2022-10-16,67.2,53.1,58.4,67.2,53.1,58.4,51.3,78.1,0,52.4,0,rain,0,0,12.1,6.9,236.1,1017.3,48.5,15,122.9,10.7,4,10,2022-10-16T07:18:14,2022-10-16T18:07:13,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Sankt Pölten,2022-10-17,67.2,49.5,57.4,67.2,49.5,57.4,51,80.3,0.01,23.8,4.17,rain,0,0,34,18.8,260.2,1013.2,45,14.9,129.3,11,5,10,2022-10-17T07:19:43,2022-10-17T18:05:19,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sankt Pölten,2022-10-18,54.4,46.3,51.4,54.4,45.4,51.1,45.4,80.4,0.09,33.3,20.83,rain,0,0,30.7,15.4,248.7,1019.9,100,14.9,51.8,4.5,2,10,2022-10-18T07:21:13,2022-10-18T18:03:25,0.79,Overcast,Cloudy skies throughout the day.,cloudy,
Sankt Pölten,2022-10-19,56.9,45.8,51.6,56.9,44.5,51.4,46.9,84.5,0,38.1,0,,0,0,28.6,12.5,241,1016.7,100,15,64.1,5.4,2,10,2022-10-19T07:22:43,2022-10-19T18:01:33,0.84,Overcast,Cloudy skies throughout the day.,cloudy,
Sankt Pölten,2022-10-20,62.7,51.3,55.7,62.7,51.3,55.7,48.7,78,0,38.1,0,,0,0,24.6,9.1,244.7,1020.7,81.8,15,99,8.5,4,10,2022-10-20T07:24:13,2022-10-20T17:59:41,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sankt Pölten,2022-10-21,62.3,48.6,53.8,62.3,48.6,53.8,48.2,81.8,0,33.3,0,,0,0,4.5,4,316.9,1020.7,93.2,15,95.4,8.1,4,10,2022-10-21T07:25:44,2022-10-21T17:57:51,0.92,Overcast,Cloudy skies throughout the day.,cloudy,
Sankt Pölten,2022-10-22,62.7,49.5,55,62.7,49.5,55,50.7,85.9,0.02,38.1,4.17,rain,0,0,6.3,5.1,54,1013.4,75.9,14.8,105.6,9,4,10,2022-10-22T07:27:15,2022-10-22T17:56:02,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Sankt Pölten,2022-10-23,55.3,48.5,51.7,55.3,42.7,49.8,45.3,79.4,0.07,38.1,12.5,rain,0,0,32,15.2,252.7,1015.7,97.7,14.9,41.4,3.5,2,10,2022-10-23T07:28:46,2022-10-23T17:54:13,0.98,Overcast,Cloudy skies throughout the day.,cloudy,
